情感倾向,评论
1,喜欢这个软件
1,很好哟
1,加油
1,快去下载
1,未来可期
1,很好;
1,爱了好叭
1,棒棒的
1,很喜欢呐
1,超级好啊
1,很好的软件
1,我爱这个软件
1,不错
1,有意义。。
1,爱了
1,很好用！！！
1,太有意义了
1,可以的
1,喜欢
1,满意
1,喜欢没有理由
1,很喜欢
1,陪伴我！！！
1,神仙软件
1,谢谢你
1,很棒
1,不错的软件
1,好评
1,超级喜欢
1,喜欢
1,很好
1,还好
1,非常的喜欢
1,很好啊
1,很棒哦
1,我很喜欢
1,满分好评
1,还好
1,很棒啦
1,特别好
1,特别好
1,有趣
1,很好吃
1,很好
1,就这样吧
1,挺不错的软件
1,真的好棒嘢
1,喜欢
1,很棒
1,真实
1,给人以希望
1,加油!!!
1,干净很棒
1,特别好用哦
1,不错
1,很感谢。
1,好
1,很好
1,就没的说
1,很棒！
1,很喜欢
1,好
1,真的太好了
1,特别好！
1,特别好用
1,好
1,还可以
1,加油
1,nice
1,挺好的
1,特别好用
1,很好用的软件
1,很棒！！！
1,值得鼓励。
1,加油⊙ω⊙
1,可以可以！
1,很好的软件
1,愿你未来更好
1,好哦哦
1,无缺
1,就是很好
1,写下第一封
1,好
1,好的
1,我好i
1,温情
1,非常好
1,太棒了
1,真的很棒。
1,很棒
1,真的很好！
1,太棒了。
1,为你们点赞
1,很喜欢
1,很赞啊
1,真的很不错
1,非常满意
1,挺好的
1,太棒了!!!
1,还不错啦
1,妙啊
1,挺好的
1,很好
1,很棒
1,很好啊
1,好
1,挺好
1,很不错的软件
1,神仙软件！
1,非常棒!
1,挺住;兄弟
1,时空的交错
1,一星保护
1,很好
1,很棒
1,不错哦
1,神仙软件
1,很好
1,很好!
1,真的很好
1,温情的感觉
1,太好用了
1,满意
1,我们与你同在
1,可以的
1,情怀满分
1,很好
1,感觉还行叭
1,很好
1,满意
1,很棒
1,非常好
1,很好
1,很好!
1,很棒的软件
1,很好
1,还不错很喜欢
1,可以
1,有一种感动
1,我爱
1,五分;完美!
1,不错
1,挺好的
1,非常好用!
1,神仙!
1,挺不错的
1,我觉得很棒.
1,感觉很不错
1,谢谢你
1,很好
1,好好好
1,还不错
1,很好
1,我喜欢
1,爱了
1,超赞
1,很棒
1,挺好的。
1,怎么写信呀
1,很棒棒噢
1,五星杠杠的
1,特别好
1,好到没话说
1,超级棒
1,我认为不错
1,一个字:棒
1,就很good
1,感动
1,宝藏软件
1,很多用
1,很好
1,很好
1,非常好感谢
1,喜欢
1,好用
1,推荐!
1,很棒
1,很棒啊
1,很棒.
1,很好的app
1,十年之约
1,非常棒
1,很棒很棒
1,感动
1,不错
1,真的很棒
1,太棒了
1,很棒!
1,我真的太爱了
1,很戳
1,很好
1,很好
1,nice
1,真的可以啊
1,很好的软件;
1,很好的软件
1,很好
1,公考过
1,好评
1,超级好
1,特别好
1,不错
1,棒!
1,很激动呢
1,很喜欢.
1,很好的软件
1,但愿不忘初心
1,棒棒哒
1,不负时光
1,真的好棒
1,感觉挺好的
1,真的很好
1,超赞
1,很期待
1,很好呀
1,很棒
1,超喜欢~!
1,谢谢~
1,可以
1,感谢了!
1,加油
1,很好
1,很棒的啦
1,希望能收到信
1,超棒!
1,很好
1,真的很好
1,很好的
1,挺好的。。
1,谢谢啦
1,就很棒!
1,很好
1,太满意啦
1,未来可期
1,挺好
1,太棒了！
1,有趣又有意义
1,是一个惊喜。
1,很好
1,很好啊
1,等待我的信
1,太赞
1,精致
1,非常好
1,感觉很好
1,非常感谢它
1,很好
1,超级喜欢
1,我很喜欢
1,比较推荐
1,很好的软件
1,nice～
1,很好啊
1,喜欢。
1,好
1,挺好的!
1,很好用啊
1,非常棒;真的
1,就很棒
1,写封信吧。
1,好!
1,我爱了
1,很好
1,超级喜欢
1,好
1,真的很温柔
1,满意
1,很好啊
1,好!
1,真的很不错
1,好
1,等着信。
1,非常喜欢
1,喜欢啊
1,超级棒的应用
1,可用性很强
1,很期待!
1,good
1,棒A！
1,太满意了
1,很好
1,nice
1,nice！
1,超级棒
1,嘻嘻;好评
1,真的很好啊
1,好
1,我的宝藏软件
1,满分
1,加油
1,好用
1,很喜欢
1,很好
1,超级好！
1,可以
1,好好好
1,好评
1,十年后再见！
1,很好用的应用
1,喜欢
1,满意
1,非常棒
1,非常满意！
1,很好
1,赞赞赞！！！
1,很棒
1,挺好的
1,加油
1,真的很好
1,很喜欢。他
1,好评;很奈斯
1,超级棒！！！
0,挺好的
1,真的很好
1,Nice
1,很喜欢;推荐
1,满意
1,感觉挺好玩的
1,很棒啊
1,很棒
1,很好用
1,真的太棒了
1,深夜树洞
1,很好
1,很好呀！
1,攒赞赞
1,很棒的软件！
1,我想她了
1,太棒了！
1,挺好的
1,很好
1,感觉很温暖
1,我觉得很好
1,挺好的
1,好
1,新奇;用心。
1,真的很好
1,蛮可爱的软件
1,太棒了啦啦
1,暖心;安静
1,超级棒
1,很好的软件
1,很好
1,Nice
1,超级满意 ！
1,爱了爱了
1,不错
1,超级棒！
1,非常好
1,非常好
1,喜欢。
1,神仙软件
1,太棒了
1,很棒
1,感触很大
1,心动
1,非常好
1,nice
1,我很喜欢
1,好
1,加油！
1,感觉还行
1,一个字好
1,非常棒！
1,很好呢！！！
1,真的挺棒的
1,反正挺好
1,我好喜欢
1,非常喜欢
1,有意义
1,会一直记得
1,很好
1,太棒了
1,奇妙的感觉
1,好好
1,很好
1,希望初心不改
1,真的很好。
1,超级喜欢
1,好
1,真的特别好
1,Good
1,完美
1,很神奇呀
1,nice
1,不错的
1,超级好了趴
1,很棒
1,太棒了
1,挺好的;。
1,温暖
1,我觉得很好
1,超赞超赞
1,超棒的
1,超好
1,谢谢
1,不错
1,加油
1,挺好
1,很喜欢
1,挺好
1,期待
1,非常好
1,这个很好
1,喜欢
1,好
1,很不错。
1,挺好
1,挺好的
1,不错
1,很棒
1,喜欢
1,很好
1,一个字  好
1,很棒哦
1,超级好
1,谢谢自己
1,就很好
1,嗯挺好
1,未来不负所望
1,很好;很期待
1,挺有趣的！
1,不错的
1,棒棒哒！
1,很好哦
1,我很喜欢
1,棒棒的！
1,嗯;希望吧
1,中考加油
1,很好
1,棒
1,感动
1,很温暖。
1,太可了！
1,超级好
1,很棒;很怀旧
1,十分好
1,太快乐了
1,满意
1,建议下载
1,五星
1,很ok
1,真的爱了
1,加油
1,很好的软件
1,一级棒
1,太棒了
1,特别好用
1,不咋更新了呢
1,好
1,太棒了
1,很好哦
1,完美
1,满意
1,绝了
1,还不错吧
1,嗯;挺好
1,绝对好评
1,超棒的软件
1,很棒
1,我表示很喜欢
1,好
1,太棒了
1,还不错
1,很好用
1,喜欢！
1,很干净
1,感觉很不错
1,不多说;满星
1,很不错
1,希望会好
1,挺好
1,很好
1,好就完了
1,太棒了
1,很棒的软件哦
1,超棒
1,宝藏软件
1,很好很好
1,很满意
1,好
1,非常非常喜欢
1,很好的软件
1,挺好的
1,好
1,期待着
1,真的很好.
1,棒
1,很棒的app
1,就很棒。
1,满意的
1,可以
1,非常喜欢
1,很棒;
1,不错;很好
1,不错
1,很好
1,非常好
1,蛮好的。
1,不错
1,很喜欢
1,感觉还不错
1,很喜欢
1,挺好的
1,满意
1,很用心
1,棒
1,特别好用
1,很好
1,爱在这一刻
1,真的很好
1,很不错哦
1,好期待啊
1,这个软件很好
1,满意！
1,望我不负韶华
1,宝藏！
1,谢谢
1,很好
1,非常好
1,很喜欢
1,好
1,很期待呢~
1,很棒！
1,非常好
1,树洞软件
1,可
1,可以
1,很不错
1,很棒的
1,爱死了
1,满意
1,真的很不错
1,软件很好用
1,喜欢
0,蛮喜欢的
1,免费的很棒
1,真的好
1,挺好的
1,宝藏软件
1,很好用
1,就很好
1,还不错
1,非常好
1,太棒了
1,笔芯
1,超喜欢的
1,nice
1,感觉很不错呢
1,挺好的
1,超级赞
1,喜欢喜欢喜欢
1,good
1,真的超级棒
1,很好
1,nice
1,很好
0,还行
1,还不错呦
1,奈斯！
1,太喜欢了
1,挺好的
1,这个好棒啊
1,嗯;挺好的
1,我写了信咯！
1,满意
1,挺好的
1,超级温暖
1,挺好的
0,还可以吧
1,很好的创意
1,很好的软件
1,超级好用呀
1,好哒
1,真的超级好
1,太爱了
1,很喜欢
1,龙膜
1,很好用啊
1,感觉这个很好
1,加油超棒！
1,感觉会好
1,棒
1,太好了
1,挺好的
1,宝藏软件
1,喜欢
1,很棒
1,加油
1,好用
1,很有代入感
1,觉得不错
1,挺好的
1,再见;未来
1,很好
1,挺期待的
1,感觉很美好
1,棒！
1,太好的软件了
1,挺好的
1,我爱你
1,很好用
1,真的很棒
1,很好
1,五星好评
1,很好
1,很好的~
1,很好
1,很满意
1,很棒
1,很棒
1,回忆∩_∩
1,喜欢
1,棒
1,真的很棒！
1,不错
1,挺不错的
1,感觉很奇妙啊
1,怪好
1,不错
1,很好
1,未来可期
1,挺好的
1,喜欢
1,我非常喜欢
1,很棒
1,优秀
1,很心动
1,很不错;
1,很棒
1,挺好的
1,很奇妙的感觉
1,非常棒
1,挺好的
1,很棒
1,好
1,谢谢
1,太棒啦
1,太棒了！
1,很好
1,漂亮！
1,软件挺好的
1,加油啊
1,ok
1,谢谢
1,很好
1,很好
1,五星好评
1,不错 我喜欢
1,赞赞赞
1,宝藏软件
1,很好
1,很好
1,五颗星
1,挺棒的软件
1,泪点崩了
1,未来可期
1,谢谢你
1,很棒
1,非常好
1,挺好的
1,很好
1,很有意义的
1,很棒。
1,挺不错的
1,非常好
1,真的很不错
1,体验很好
1,真的好
1,不错呀。
1,真的很好
1,很好
1,很棒
1,很棒喔
1,喜欢！！！！
1,很好
1,五星五星
1,期待那一天
1,加油！
1,很棒
1,超级奈斯
1,太棒了
1,太爱了
1,很棒。
1,很好
1,好
1,很想以后收到
1,很棒
1,超级奈斯
1,很好的软件
1,很好哦
1,很棒！
1,nan
1,宝藏应用！
1,情感的抒发地
1,好
1,真的是宝藏啊
1,很好！
1,好用的
1,好评
1,心意满满
1,爱惹
1,很暖心
1,期待;满分
1,加油
1,还可以吧
1,非常满意
1,真的很好
1,爱了
1,挺好
1,很棒的APP
1,非常的纳斯
1,可以
1,极简;极爱
1,没弄懂
1,喜欢喜欢
1,太神奇了吧
1,非常好！
1,感动
1,很好
1,很期待
1,我喜欢
1,很良心
1,好(✪▽✪)
1,很有意义
1,真的;很棒哦
1,非常不错哟！
1,很有意义
1,很棒
1,他很好
1,喜欢。
1,很棒的app
1,太棒了
1,期待
1,很喜欢
1,好
1,宝藏软件！
1,真的很好。
1,爱了呢
1,很有仪式感
1,很好的软件
1,感谢
1,非常满意
1,简洁明了。
1,超级棒！！
1,安利;好用
1,很喜欢
1,不错的
1,挺好
1,妙啊～
1,好
1,真的很好
1,不错
1,好评
1,非常好
1,超级棒的说
1,挺好的
1,棒棒棒！！！
1,喜欢
1,谢谢遇见
1,很棒
1,好喜欢！
1,很有意思
1,就很好啊
1,喜欢这个软件
1,来日可期。
1,这个很棒了
1,很棒
1,真的;很棒
1,good
1,很棒
1,很实用
1,非常棒
1,很好的APP
1,很棒的软件
1,真的很好
1,这个可以哦
1,非常棒
1,就……挺好的
1,真的很干净
1,好用的
1,很满意
1,可以
1,挺不错的
1,感觉不错
1,很好
1,很棒
1,很奇妙的感觉
1,爱！
1,很好
1,满意
1,我喜欢
1,非常好
1,很棒！
1,十分满意
1,谢谢。
1,奇妙的感觉
1,很好用
1,太棒了
0,挺好
1,很喜欢
1,还是挺不错的
1,非常好
1,我爱了
1,很好
1,挺不错的
1,谢谢
1,期待我的信
1,超好用的
1,只有喜欢
1,非常的好用。
1,很喜欢哦
1,好
1,很好
1,很棒！
1,挺好的挺好的
1,好奇妙
1,很有意义
1,很喜欢
1,很走心啊！
1,真心觉得很好
1,Nice！
1,喜欢
1,很棒!
1,是真好用
1,感谢！
1,很好
1,可以
1,很好的软件哦
1,喜欢
1,很好
1,我爱了
1,蛮不错的
1,很棒的app
1,棒！
1,爱辽
1,很好
1,很好
1,超级暖心治愈
1,很棒哦
1,挺好的
1,可以自言自语
1,五年后再见！
1,太棒了吧也
1,很优秀
1,很棒。
1,很好
1,觉得很好
1,很好用
1,给未来的自己
1,我觉得很好
1,很棒的软件！
1,神仙软件
1,真的喜欢
1,喜欢喜欢
1,好啊好;
1,软件很棒！
1,希望如此
1,十年后见
1,很好
1,很好
1,好可
1,爱了。
1,很好
1,好
1,我爱了
1,直接爱了
1,可以
1,超级棒
1,nice~
1,奈斯！
1,干净简洁
1,我们与你同在
1,厉害
1,它值得
1,很好。
1,未来可期
1,期待那一天吧
1,很好;有意义
1,好棒好棒好棒
1,感同身受
1,很nice
1,喜欢
1,棒
1,还不错哦
1,我喜欢
1,可以
1,很好
1,感觉还不错
1,挺好
1,挺好的
1,很好
1,不错
1,特别好
1,挺棒的
1,真的很不错
1,真的太棒了。
1,可！！！
1,很好
1,很好
1,很好用
1,非常满意哦
1,挺好的
1,很好用啊
1,特别喜欢
1,非常好
1,加油
1,还不错
1,超级棒！
1,强烈安利
1,好温柔……
1,很满意哦！
1,很好
1,很棒
1,不错哦！
1,很喜欢
1,很好
1,真的很好
1,很暖心
1,很棒啊
1,挺好的
1,挺好的
1,很好
1,非常喜欢
1,好
1,就很喜欢
1,有点好
1,我哭了……
1,很好
1,加油吧
1,还不错
1,还不错啦！
1,很棒
1,挺喜欢的
1,嗯不知道
1,很棒啊;加油
1,加油
1,很有仪式感。
1,好评
1,很棒！
1,太爱了
1,好
1,很棒
1,简单文艺
1,非常OK的
1,很好的一个
1,很推荐
1,棒棒
1,好
1,很好哦
1,不错哦
1,谢谢
1,很好。
1,很好
1,五星保护
1,喜欢
1,喜欢
1,先给个五吧
1,很好
1,真的很棒
1,好棒
1,真的特别好。
1,很好
1,喜欢
1,期待21
1,不负众望
1,超治愈的
1,很喜欢
1,很好
1,喜欢
1,很喜欢
1,好
1,太好用了
1,挺好用的
1,爱了！！
1,话不多说。
1,很棒
1,很喜欢
1,我觉得很好！
1,感谢这个软件
1,宝藏软件
1,很喜欢
1,怎么登录
1,超棒的
1,真的太棒了！
1,很好用的
1,我;喜欢
1,很棒
1,这个软件很好
1,很好哦
1,喜欢
1,很有意义哦
1,很好很好
1,真的很棒
1,很好
1,很喜欢
1,加油！
1,很好
1,真的…很感动
1,给未来
1,给自己写写信
1,很棒
1,感触颇深……
1,很棒！！
1,很满意
1,我喜欢你
1,挺好
1,真的很好
1,挺好
1,很赞的APP
1,很棒
1,可以
1,很好
1,期待未来
1,可以啊
1,真的好
1,可以
1,愿自己加油！
1,宝藏
1,五星。
1,很治愈的呀
1,真的很棒
1,很棒
1,真的很棒啊！
1,很好啊
1,俺喜欢
1,很棒很喜欢
1,加油！
1,敲有成就感
1,很棒。
1,真的很棒
1,很棒
1,很好哦
1,太棒啦！
1,特别好
1,等待 期待
1,很喜欢！
1,挺不错
1,棒棒哒
1,超级赞
1,好噢!
1,成长的足迹。
1,很好
1,太棒了！
1,棒！
1,我蛮喜欢的
1,觉得很好
1,好
1,很棒
1,很喜欢;
1,很好
1,很好
1,很nice啊
1,真的超级棒啊
1,好棒哦
1,很好叭
1,很好
1,太太太棒了
1,挺好
1,可以
1,挺好的
1,非常好
1,good
1,还可以吧
1,真的很好
1,记录自己
1,好评 挺好的
1,特别贴心
1,吹爆
1,大爱！
1,很好哦
1,好暖
1,OK的
1,真的很好用哦
1,可以
1,我觉得很好奥
1,很好
1,很好
1,非常喜欢
1,棒
1,加油
1,很好
1,太爱了
1,挺好的
1,赞
1,我喜欢它
1,棒
1,很好
1,奈斯
1,非常好
1,神仙软件
1,很棒很走心
1,超级棒
1,好玩
1,真的好
1,很感动
1,两个字：期待
1,特别好
1,太棒了
1,很有趣
1,满意
1,真的很好呢
1,好
1,很好
1,还可以
1,很棒
1,爱了
1,好用
1,很喜欢
1,爱了爱了
1,蛮有意义的吧
1,特别好
1,棒
1,棒棒棒
1,很棒
1,很好呢!
1,很喜欢❤
1,我喜欢！
1,很喜欢呐
1,宝藏软件
1,很棒哦
1,谢谢你
1,特别好呀
1,神仙软件！
1,真的不错o;
1,挺好
1,很好玩;真好
1,太棒了
1,nice
1,太棒了
1,好喜欢啊哭了
1,超棒！
1,棒
1,我喜欢
1,很治愈
1,很好
1,很好
1,超级棒
1,太棒了
1,我挺满意的
1,很棒！
1,真的很棒
1,爱了爱了
1,很好
1,嗯;很不错
1,太好了
1,挺好的
1,非常非常棒
1,很喜欢这个啊
1,nice
1,页面都很温柔
1,这个很棒
1,未来可期
1,感觉很好啊
1,很好
1,棒
1,宝藏软件
1,走心
1,我喜欢
1,我很喜欢……
1,很爱这个宝藏
1,五星保护！
1,超级好
1,！！强烈推荐
1,中考加油。
1,很好
1,挺好的软件
1,谢谢你
1,挺好的
1,不错不错
1,很赞
1,感觉很有意义
1,外瑞古德
1,很喜欢！
1,我想未来可期
1,很棒
1,很好
1,很好的东西
1,特别好
1,我太喜欢了!
1,好评
1,超棒！
1,挺好的
1,非常好
1,很棒
1,五星好评！！
1,非常棒
1,爱了爱了
1,挺好的
1,good
1,还有点
1,好好好
1,非常好
1,很棒
1,很好啊
1,望你不负我
1,好好好
1,我觉得非常好
1,感觉还不错
1,太喜欢了
1,很喜欢.
1,非常满意✨
1,超级棒！
1,我非常满意
1,超棒哦
1,好
1,未来无限期望
1,OK
1,五星啦
1,Good.
1,真的是特别好
1,很不错
1,真的很好
1,真的超级赞;
1,五星级哦~
1,很棒
1,很好。
1,可以
1,这真的是
1,特别好用
1,挺好的！！！
1,真的太棒了
1,特别棒
1,太棒了吧
1,很棒
1,很好啊
1,好评
1,还可以
1,很喜欢
1,很好
1,很棒
1,很不错。
1,不错喔
1,很满意
1,很棒的呀
1,个人感觉很好
1,很好的软件
1,我觉得不错
1,很好
1,很走心
1,挺好
1,给未来一封信
1,没有理由
1,特别棒
1,喜欢
1,非常好
1,挺好的
1,非常好
1,没有理由～
1,很好
1,挺棒的嘛
1,真好
1,很好
1,帮死了！！！
1,加油
1,真的很好
1,nan
1,愿我梦想成真
1,哇咔咔
1,非常好
1,很棒哦
1,期待回信
1,很好
1,很棒;很爱
1,很棒
1,好浪漫哦！
1,挺好
1,五星好评啦~
1,优质app
1,很棒
1,真的超爱
1,干净 喜欢
1,愿未来可期！
1,很棒！
1,好棒！！
1,ok
1,非常棒的软件
1,很舒服
1,加油！
1,挺好的
1,我爱
1,很喜欢
1,很棒
1,很好
1,good
1,好好好
1,非常满意
1,挺不错的
1,很有意义
1,好评
1,宝藏APP
1,棒！
1,好评
1,真的挺好的
1,五星;没理由
1,超级喜欢
1,很棒的软件
1,优秀的软件
1,很好鸭
1,很喜欢
1,好
1,我很喜欢
1,宝藏
1,很喜欢;
1,很好
1,满意
1,很好
1,很好
1,很棒
1,宝藏软件啊
1,不错
1,非常好;
1,很棒！！！
0,一星保护
1,很棒的软件
1,必须给五星
1,宝藏软件
1,很棒
1,宝藏！
1,很好很好很好
1,喜欢
1,太爱了
1,棒棒
1,超喜欢
